plr_id,plr_name,longitude,latitude
03501038,"Hansastraße",13.481736,52.555252
01100207,"Leipziger Straße",13.397902,52.511521
08100415,"Ganghoferstraße",13.442859,52.478845
03200308,"Nisbléstraße",13.424115,52.600582
01401049,"Schulstraße",13.366423,52.554355
04400727,"Flinsberger Platz",13.290029,52.485525
10100315,"Bärenstein",13.565599,52.539488
01100104,"Körnerstraße",13.368218,52.502106
04200308,"Branitzer Platz",13.268994,52.522441
12400723,"Hermsdorf Ost/Waldsee",13.317243,52.620729
06100210,"Bismarckstraße",13.342400,52.461105
06400838,"Krumme Lanke",13.230691,52.449777
07601442,"Kettinger Straße",13.397858,52.404966
03601348,"Senefelderstraße",13.422844,52.542065
08100104,"Wartheplatz",13.423360,52.469257
03601450,"Volkspark Prenzlauer Berg",13.458483,52.535557
08401242,"Zittauer Straße",13.480454,52.414662
09100407,"Johannisthal West",13.495298,52.449074
10100101,"Marzahn West",13.556512,52.567665
03300411,"Karow Nord",13.490885,52.618257
01401045,"Schwedenstraße",13.377974,52.554974
07400720,"Gontermannstraße",13.375424,52.478136
05200631,"Wilhelmstadt Ost",13.200488,52.521219
04100102,"Paul-Hertz-Siedlung",13.298928,52.537145
12500926,"Wittenau Süd",13.334771,52.591174
10200417,"Zossener Straße",13.593821,52.546623
03400722,"Parkstraße",13.404216,52.574236
11300721,"Herzbergstraße",13.504238,52.526690
11200514,"Landsberger Allee",13.490631,52.536211
01400942,"Westliche Müllerstraße",13.351164,52.546375
05200525,"Pillnitzer Weg",13.146251,52.522540
08401140,"Vogelviertel Nord",13.466468,52.438913
09501941,"Friedrichshagener Straße",13.584915,52.451020
07601546,"Franziusweg",13.390517,52.387743
02300316,"Köpenicker Straße",13.434791,52.503766
10300734,"Biesdorf Süd",13.560065,52.492680
07100206,"Großgörschenstraße",13.367778,52.490776
01200518,"Beusselkiez",13.326667,52.528716
12200414,"TXL",13.282778,52.556813
04400831,"Messelpark",13.283894,52.472814
06300526,"Zehlendorf Mitte",13.254535,52.432370
09200819,"Köllnische Vorstadt",13.566489,52.437000
04501150,"Wilhelmsaue",13.325822,52.484845
06100206,"Stadtpark",13.333489,52.447807
08100311,"Reuterplatz",13.428695,52.489051
10100210,"Marzahner Promenade",13.550669,52.545787
09501736,"Hirschgarten",13.612255,52.455384
10100312,"Springpfuhl",13.543357,52.527917
12100205,"Teichstraße",13.349530,52.576163
01100102,"Großer Tiergarten",13.358245,52.512461
02200210,"Urbanstraße",13.398537,52.493837
03701556,"Kollwitzplatz",13.416214,52.532263
05300736,"Zitadellenweg",13.224997,52.541382
06200419,"Thermometersiedlung",13.315138,52.413108
02400625,"Wriezener Bahnhof",13.441536,52.507202
06300630,"Hindenburgdamm",13.318239,52.442131
11300617,"Fennpfuhlpark",13.471807,52.529658
07501029,"Ringstraße",13.373045,52.442993
09100101,"Alt-Treptow",13.460462,52.490024
04300623,"Karl-August-Platz",13.308459,52.508385
05300737,"Gartenfelder Straße",13.240049,52.542883
06300524,"Berlepschstraße",13.241393,52.426310
01200623,"Stephankiez",13.354260,52.531444
05200632,"Tiefwerder",13.212199,52.523004
04400835,"Rüdesheimer Platz",13.316369,52.472176
10200627,"Am Kienberg",13.586354,52.528654
02300418,"Reichenberger Straße Ost",13.436549,52.494406
02500728,"Samariterviertel",13.465307,52.517366
01200627,"Zillesiedlung",13.360943,52.525572
05400945,"Kafkastraße",13.124963,52.449241
08200729,"Britzer Garten",13.422014,52.432865
02200207,"Gleisdreieck",13.374407,52.496924
12200413,"Tegel Süd",13.281141,52.577774
04500937,"Halensee",13.290536,52.499250
03400830,"Kissingenviertel",13.421521,52.567021
03500936,"Komponistenviertel Weißensee",13.461073,52.545652
10200420,"Gut Hellersdorf",13.593205,52.537358
01200517,"Huttenkiez",13.330299,52.533841
04300619,"Alt-Lietzow",13.309971,52.518468
06100205,"Südende",13.350843,52.446996
04300624,"Savignyplatz",13.319819,52.508034
10200419,"Havelländer Ring",13.600264,52.542180
04200207,"Eichkamp",13.225787,52.488047
02200211,"Chamissokiez",13.396914,52.487588
03601141,"Arnimplatz",13.410237,52.551978
11401137,"Erieseering",13.519120,52.498481
10100311,"Marzahner Chaussee",13.530442,52.524180
09100306,"Späthsfelde",13.476529,52.450496
03400724,"Wolfshagener Straße",13.419059,52.576813
01200628,"Lüneburger Straße",13.362698,52.521869
08401241,"Blumenviertel",13.482624,52.433182
04400726,"Bismarckallee",13.280123,52.490556
12400618,"Heiligensee Nord",13.249262,52.621142
11300618,"Storkower Bogen",13.462905,52.526899
06100102,"Schloßstraße",13.320294,52.459511
03701660,"Bötzowstraße",13.433191,52.531455
01400941,"Londoner Straße",13.340154,52.561277
08100313,"Bouchéstraße",13.443974,52.487344
01100416,"Arkonaplatz",13.402392,52.535078
01100313,"Heine-Viertel Ost",13.420611,52.508348
12400721,"Frohnau Ost",13.295912,52.644301
01200519,"Emdener Straße",13.332632,52.530095
03400721,"Florakiez",13.398735,52.565254
02200209,"Viktoriapark",13.380945,52.488648
05400944,"Kladower Damm",13.151591,52.454342
02500830,"Niederbarnimstraße",13.458332,52.513983
07501031,"Eisenacher Straße",13.394379,52.447787
08301037,"Gropiusstadt Süd-Ost",13.478162,52.423001
